Altium Designer Pick and Place Locations,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
========================================================================================================================,,,,,,,,,,,
File Design Information:,,,,,,,,,,,
,,,,,,,,,,,
Date:       13/09/22,,,,,,,,,,,
Time:       14:18,,,,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,,,,
Variant:    No variations,,,,,,,,,,,
Units used: mm,,,,,,,,,,,
,,,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
C2,220uF/16V,TopLayer,CM_D(6.3*7.7),96.528,30.139,270,ÌùÆ¬µç½âµçÈÝ C278407,96.528,30.139,96.528,33.139
D1,1N5824,TopLayer,SMA,102.8,26.5,270,ÕûÁ÷¶þ¼«¹Ü C727065,102.8,26.5,102.8,24.2
JP0,BoardConnector 6P,TopLayer,HDR2.54-DIY16-PW,59.39,2,0,DIY Board Connector (P/N),54.15,2,47.8,2
JP0L,BoardConnector 10P,TopLayer,HDR2.54-DIY16-PW,79.39,2,0,DIY Board Connector (P/N),54.15,2,47.8,2
U_REF_U_QuadDacDriver8,REF3025,TopLayer,SOT23-3,85.043,30.5878,0,3V Reference Source,86.293,29.6378,86.293,29.6378
U_REF_U_QuadDacDriver7,REF3025,TopLayer,SOT23-3,66.155,30.589,0,3V Reference Source,67.405,29.639,67.405,29.639
U_REF_U_QuadDacDriver6,REF3025,TopLayer,SOT23-3,47.68,30.568,0,3V Reference Source,48.93,29.618,48.93,29.618
U_REF_U_QuadDacDriver5,REF3025,TopLayer,SOT23-3,28.78,30.572,0,3V Reference Source,30.03,29.622,30.03,29.622
U_REF_U_QuadDacDriver4,REF3025,TopLayer,SOT23-3,85.0729,9.0841,0,3V Reference Source,86.3229,8.1341,86.3229,8.1341
U_REF_U_QuadDacDriver3,REF3025,TopLayer,SOT23-3,66.1979,9.0841,0,3V Reference Source,67.4479,8.1341,67.4479,8.1341
U_REF_U_QuadDacDriver2,REF3025,TopLayer,SOT23-3,47.7059,9.0641,0,3V Reference Source,48.9559,8.1141,48.9559,8.1141
U_REF_U_QuadDacDriver1,REF3025,TopLayer,SOT23-3,28.743,9.076,0,3V Reference Source,29.993,8.126,29.993,8.126
U_OPA_U_QuadDacDriver8,OPA4197IPWR,TopLayer,TSSOP-14,76.808,36.5568,0,Quad-channel Operational Amplifier,76.808,36.5568,74.858,33.2528
U_OPA_U_QuadDacDriver7,OPA4197IPWR,TopLayer,TSSOP-14,57.92,36.558,0,Quad-channel Operational Amplifier,57.92,36.558,55.97,33.254
U_OPA_U_QuadDacDriver6,OPA4197IPWR,TopLayer,TSSOP-14,39.445,36.537,0,Quad-channel Operational Amplifier,39.445,36.537,37.495,33.233
U_OPA_U_QuadDacDriver5,OPA4197IPWR,TopLayer,TSSOP-14,20.545,36.541,0,Quad-channel Operational Amplifier,20.545,36.541,18.595,33.237
U_OPA_U_QuadDacDriver4,OPA4197IPWR,TopLayer,TSSOP-14,76.8379,15.0531,0,Quad-channel Operational Amplifier,76.8379,15.0531,74.8879,11.7491
U_OPA_U_QuadDacDriver3,OPA4197IPWR,TopLayer,TSSOP-14,57.9629,15.0531,0,Quad-channel Operational Amplifier,57.9629,15.0531,56.0129,11.7491
U_OPA_U_QuadDacDriver2,OPA4197IPWR,TopLayer,TSSOP-14,39.4709,15.0331,0,Quad-channel Operational Amplifier,39.4709,15.0331,37.5209,11.7291
U_OPA_U_QuadDacDriver1,OPA4197IPWR,TopLayer,TSSOP-14,20.508,15.045,0,Quad-channel Operational Amplifier,20.508,15.045,18.558,11.741
U_DAC_U_QuadDacDriver8,DAC124S085CISD,TopLayer,VSSOP-10,85.777,36.4567,270,TI 10-bit Quad-channel DAC (NOPB),85.698,36.4298,83.427,37.4566
U_DAC_U_QuadDacDriver7,DAC124S085CISD,TopLayer,VSSOP-10,66.889,36.4579,270,TI 10-bit Quad-channel DAC (NOPB),66.81,36.431,64.539,37.4578
U_DAC_U_QuadDacDriver6,DAC124S085CISD,TopLayer,VSSOP-10,48.414,36.437,270,TI 10-bit Quad-channel DAC (NOPB),48.335,36.41,46.064,37.4368
U_DAC_U_QuadDacDriver5,DAC124S085CISD,TopLayer,VSSOP-10,29.514,36.4409,270,TI 10-bit Quad-channel DAC (NOPB),29.435,36.414,27.164,37.4408
U_DAC_U_QuadDacDriver4,DAC124S085CISD,TopLayer,VSSOP-10,85.8069,14.953,270,TI 10-bit Quad-channel DAC (NOPB),85.7279,14.9261,83.4569,15.9529
U_DAC_U_QuadDacDriver3,DAC124S085CISD,TopLayer,VSSOP-10,66.9319,14.953,270,TI 10-bit Quad-channel DAC (NOPB),66.8529,14.9261,64.5819,15.9529
U_DAC_U_QuadDacDriver2,DAC124S085CISD,TopLayer,VSSOP-10,48.4399,14.933,270,TI 10-bit Quad-channel DAC (NOPB),48.3609,14.9061,46.0899,15.9329
U_DAC_U_QuadDacDriver1,DAC124S085CISD,TopLayer,VSSOP-10,29.477,14.945,270,TI 10-bit Quad-channel DAC (NOPB),29.398,14.918,27.127,15.9448
U?,74HCT138,TopLayer,SO16NB,99.865,9.794,0,3-to-8 Decoder,95.42,7,95.42,7
U1,LM2596S-5.0,TopLayer,TO263-5A,111.006,27.853,90,5VÎÈÑ¹Ð¾Æ¬,111.006,33.06,114.406,33.06
R4P_U_QuadDacDriver8,82K,TopLayer,R_0603_L,74.3951,43.4147,90,ÌùÆ¬µç×è,74.395,43.4148,74.3951,42.7647
R4P_U_QuadDacDriver7,82K,TopLayer,R_0603_L,55.5071,43.4159,90,ÌùÆ¬µç×è,55.507,43.416,55.5071,42.7659
R4P_U_QuadDacDriver6,82K,TopLayer,R_0603_L,37.0321,43.3949,90,ÌùÆ¬µç×è,37.032,43.395,37.0321,42.7449
R4P_U_QuadDacDriver5,82K,TopLayer,R_0603_L,18.1321,43.3989,90,ÌùÆ¬µç×è,18.132,43.399,18.1321,42.7489
R4P_U_QuadDacDriver4,82K,TopLayer,R_0603_L,74.425,21.911,90,ÌùÆ¬µç×è,74.4249,21.9111,74.425,21.261
R4P_U_QuadDacDriver3,82K,TopLayer,R_0603_L,55.55,21.911,90,ÌùÆ¬µç×è,55.5499,21.9111,55.55,21.261
R4P_U_QuadDacDriver2,82K,TopLayer,R_0603_L,37.058,21.891,90,ÌùÆ¬µç×è,37.0579,21.8911,37.058,21.241
R4P_U_QuadDacDriver1,82K,TopLayer,R_0603_L,18.0951,21.9029,90,ÌùÆ¬µç×è,18.095,21.903,18.0951,21.2529
R4N_U_QuadDacDriver8,10K,TopLayer,R_0603_L,75.9189,43.4149,270,ÌùÆ¬µç×è,75.919,43.4148,75.9189,44.0649
R4N_U_QuadDacDriver7,10K,TopLayer,R_0603_L,57.0309,43.4161,270,ÌùÆ¬µç×è,57.031,43.416,57.0309,44.0661
R4N_U_QuadDacDriver6,10K,TopLayer,R_0603_L,38.5559,43.3951,270,ÌùÆ¬µç×è,38.556,43.395,38.5559,44.0451
R4N_U_QuadDacDriver5,10K,TopLayer,R_0603_L,19.6559,43.3991,270,ÌùÆ¬µç×è,19.656,43.399,19.6559,44.0491
